,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
269,Census Tract 2216,white,415.32822292634904,418.3822280982383,0.0073532329451899605,3.05400517188923,0.205750593950325,2022,2022,0,Total,135236,26241.0,Census Tract 2216,14000US17031221600
270,Census Tract 1608,white,495.8854701863969,511.2531706256541,0.030990422916567152,15.367700439257192,0.658397596042509,2022,2022,0,Total,82691,12462.0,Census Tract 1608,14000US17031160800
271,Census Tract 1609,white,633.7292638363349,643.5953714023657,0.015568331981871021,9.866107566030792,0.5685790209151118,2022,2022,0,Total,114861,27729.000000000004,Census Tract 1609,14000US17031160900
272,Census Tract 2228,white,654.9760237106312,672.435274527089,0.026656320513147848,17.45925081645771,1.0,2022,2022,0,Total,84239,31319.000000000004,Census Tract 2228,14000US17031222800
273,Census Tract 1611,white,586.2776468791451,633.635038109121,0.0807763889380181,47.35739122997586,1.0750886579722823,2022,2022,0,Total,158393,28633.0,Census Tract 1611,14000US17031161100
274,Census Tract 1613,white,508.2853321778596,613.3922340118585,0.20678720234488257,105.1069018339989,2.2403837047846316,2022,2022,0,Total,53969,9411.0,Census Tract 1613,14000US17031161300
275,Census Tract 6501,white,535.1679912074255,545.477789848303,0.019264602536517395,10.309798640877489,1.3048742842785221,2022,2022,0,Total,59966,23932.0,Census Tract 6501,14000US17031650100
276,Census Tract 3302,white,243.54622599137775,243.63649161899372,0.0003706303690337575,0.09026562761596324,0.21199979599957644,2022,2022,0,Total,128000,17573.0,Census Tract 3302,14000US17031330200
277,Census Tract 4206,black,585.4352375954993,606.859463491651,0.036595381556028865,21.42422589615171,0.5445060327270795,2022,2022,0,Total,34643,16764.0,Census Tract 4206,14000US17031420600
278,Census Tract 4207,black,443.93859563073295,482.51465473165695,0.08689503341361081,38.576059100924,0.816888743048545,2022,2022,0,Total,24785,8335.0,Census Tract 4207,14000US17031420700
279,Census Tract 6610,white,1548.1682035430276,1594.9566786925875,0.030221829283460993,46.78847514955987,5.443157350888717,2022,2022,0,Total,46066,9383.0,Census Tract 6610,14000US17031661000
280,Census Tract 101,white,910.443017851364,955.8870506003465,0.04991419765756452,45.44403274898252,1.7782725434036997,2022,2022,0,Total,68196,8825.0,Census Tract 101,14000US17031010100
281,Census Tract 6405,white,1198.9126098096335,1299.5154957666643,0.08391177566562154,100.60288595703082,1.799100531567604,2022,2022,0,Total,72813,32166.000000000004,Census Tract 6405,14000US17031640500
282,Census Tract 6407,white,437.8050694672929,467.78997735279677,0.06848917469591778,29.984907885503844,1.0,2022,2022,0,Total,72297,7043.0,Census Tract 6407,14000US17031640700
283,Census Tract 3108,white,351.13075228215047,351.13075228215047,0.0,0.0,0.0,2022,2022,0,Total,63779,24876.0,Census Tract 3108,14000US17031310800
284,Census Tract 6604,white,560.1079698883784,643.2930923084948,0.14851622703510897,83.18512242011639,3.0,2022,2022,0,Total,44297,16564.0,Census Tract 6604,14000US17031660400
285,Census Tract 6704,black,1090.5955454150742,1146.4956558448732,0.05125649986817413,55.90011042979904,1.6896867840940821,2022,2022,0,Total,32083,18515.0,Census Tract 6704,14000US17031670400
286,Census Tract 3404,white,272.1860745934613,272.1860745934613,0.0,0.0,0.0,2022,2022,0,Total,49309,14224.000000000002,Census Tract 3404,14000US17031340400
287,Census Tract 4208,black,398.7186234184907,410.0923713867074,0.02852575049216826,11.373747968216662,0.2953431224070797,2022,2022,0,Total,44375,23819.0,Census Tract 4208,14000US17031420800
288,Census Tract 2225,white,377.0785505444225,377.1259107383645,0.00012559768746751954,0.04736019394198365,0.08113151341028105,2022,2022,0,Total,147582,20700.0,Census Tract 2225,14000US17031222500
289,Census Tract 3906,black,314.2306642399266,314.2306642399266,0.0,0.0,0.0,2022,2022,0,Total,76806,47463.0,Census Tract 3906,14000US17031390600
