,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 615,white,152.9,166.70000000000002,0.09025506867233493,13.800000000000011,1.0
Census Tract 3206,white,138.1,138.1,0.0,0.0,0.0
Census Tract 7403,white,95.5,95.5,0.0,0.0,0.0
Census Tract 6607,black,164.10000000000002,164.10000000000002,0.0,0.0,0.0
Census Tract 2227,white,233.89999999999998,264.6,0.13125267208208657,30.700000000000045,2.0
Census Tract 2212,white,248.7,248.7,0.0,0.0,0.0
Census Tract 1607,white,227.60000000000002,227.60000000000002,0.0,0.0,0.0
Census Tract 2222,white,243.3,269.7,0.10850801479654737,26.399999999999977,1.0
Census Tract 3405,white,189.8,189.8,0.0,0.0,0.0
Census Tract 3301,white,246.6,246.6,0.0,0.0,0.0
Census Tract 3403,white,250.5,250.5,0.0,0.0,0.0
Census Tract 3504,white,240.3,240.3,0.0,0.0,0.0
Census Tract 7505,black,153.1,153.1,0.0,0.0,0.0
Census Tract 7504,white,122.4,122.4,0.0,0.0,0.0
Census Tract 7502,black,103.3,103.3,0.0,0.0,0.0
Census Tract 4302,black,154.2,154.2,0.0,0.0,0.0
Census Tract 6608,white,210.3,210.3,0.0,0.0,0.0
Census Tract 6609,white,316.9,410.5,0.2953613127169455,93.60000000000002,2.0
