,Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
98,Census Tract 2302,0,453.047833415925,509.7422868395052,0.1251401049556091,56.69445342358017,1.0
99,Census Tract 8351,0,662.5313987903049,685.3400570468631,0.0344265317812918,22.808658256558147,2.0
100,Census Tract 1510.01,0,645.8673622155661,674.2692809087052,0.0439748473985586,28.401918693139123,1.5
101,Census Tract 1510.02,0,764.3566923478793,787.8052276837873,0.0306774776366266,23.44853533590799,1.0
102,Census Tract 1606.02,0,564.8919793679734,588.5107363325568,0.0418111034095565,23.61875696458344,1.7999999999999998
103,Census Tract 1406.01,0,472.93890099200775,507.7228837471662,0.0735485761103552,34.78398275515843,1.0
104,Census Tract 1407.01,0,791.7325714527894,795.0421093911586,0.0041801209874394,3.3095379383692034,0.2857142857142857
105,Census Tract 1406.02,0,642.5994957281939,676.1663058213207,0.0522359732870454,33.56681009312683,1.3076923076923077
106,Census Tract 3905,1,494.285722477429,494.285722477429,0.0,0.0,0.0
107,Census Tract 8426,0,571.4967436069073,571.4967436069073,0.0,0.0,0.0
108,Census Tract 8435,0,523.8295840354573,523.8295840354573,0.0,0.0,0.0
109,Census Tract 8434,0,430.4522677858173,430.4522677858173,0.0,0.0,0.0
110,Census Tract 1403.02,0,601.3703392184643,681.1824260169485,0.1327170324066985,79.81208679848419,3.0
111,Census Tract 1105.01,0,816.8268875694067,844.6536293598615,0.034066877834124,27.826741790454776,1.4285714285714284
112,Census Tract 3904,1,158.58364308261736,158.58364308261736,0.0,0.0,0.0
113,Census Tract 8432,0,548.9199686721079,550.0760126037453,0.0021060336617631,1.1560439316374411,0.5
114,Census Tract 1105.02,0,605.9950209582681,627.4752485734572,0.0354462113916746,21.48022761518905,0.5
115,Census Tract 8343,1,751.5232354763738,759.0790145547763,0.010053952721253,7.555779078402566,0.3636363636363636
116,Census Tract 8439,1,962.5797949712615,966.5470418929492,0.0041214732975003,3.967246921687433,0.3333333333333333
117,Census Tract 8312,0,646.2557385950014,695.4992744681053,0.0761982183402538,49.24353587310395,3.0
118,Census Tract 8316,0,643.4355290137771,673.1828397441709,0.046231998994505,29.747310730393792,1.0
119,Census Tract 8315,0,938.5149871079155,1073.4229798127335,0.1437462316084524,134.90799270481818,6.5
120,Census Tract 8311,0,536.9875760193268,572.5307023972746,0.0661898486393819,35.54312637794783,1.6923076923076923
121,Census Tract 8317,0,653.3785787304341,676.1263619142574,0.0348156243934779,22.74778318382323,2.0
122,Census Tract 2715,1,366.9416415141575,368.09768544579504,0.003150484439071,1.156043931637555,0.5
123,Census Tract 4402.02,1,522.6540870230584,522.6540870230584,0.0,0.0,0.0
124,Census Tract 4401.02,1,637.8987552273538,637.8987552273538,0.0,0.0,0.0
125,Census Tract 4301.02,1,,,0.0,,
126,Census Tract 306.03,0,557.1613891441764,577.0611283135667,0.0357162925448892,19.899739169390276,1.0833333333333333
127,Census Tract 307.01,0,890.749657096381,913.5108393882028,0.0255528386797447,22.7611822918218,1.5
128,Census Tract 8363,1,463.4694984979756,463.4694984979756,0.0,0.0,0.0
129,Census Tract 8383,0,327.64473171992614,337.4925880162985,0.0300565073782123,9.847856296372356,0.5
130,Census Tract 8398,0,417.9414095159785,417.9414095159785,0.0,0.0,0.0
131,Census Tract 8366,1,767.181771159004,794.5619212960926,0.0356892605721386,27.38015013708855,1.0
132,Census Tract 7302.02,1,1478.530869876752,1533.8949302509573,0.0374453192031223,55.36406037420511,3.0
133,Census Tract 4301.01,1,794.9975490603158,802.2476418903627,0.0091196417380361,7.250092830046924,0.8
134,Census Tract 633.02,0,394.5278545851125,397.5009178009137,0.0075357498367959,2.9730632158012327,0.1333333333333333
135,Census Tract 8362,1,195.29154570939212,195.29154570939212,0.0,0.0,0.0
136,Census Tract 714,0,315.33068806416475,323.7454178325514,0.0266854133990105,8.414729768386678,0.2666666666666666
137,Census Tract 8401,0,383.21028364826014,383.21028364826014,0.0,0.0,0.0
138,Census Tract 5805.02,0,890.6497790108192,895.5978575224949,0.0055555827085829,4.948078511675703,0.4
139,Census Tract 8414,0,293.8932946090114,294.66399056343647,0.0026223665818929,0.7706959544250935,0.3333333333333333
140,Census Tract 814.01,0,540.0383551872358,544.6116522962617,0.0084684672210741,4.57329710902593,1.0
141,Census Tract 814.03,0,280.6038929230543,302.79313748897016,0.079076752409848,22.189244565915885,0.5555555555555556
142,Census Tract 307.03,0,750.8505009453734,830.7959864121815,0.1064732398342295,79.94548546680812,1.9473684210526316
