sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude
20003484,1000001,-1,97,IL,USA,17,31,804610,0,0,42.024082,-88.051022
20003484,1000002,-1,97,IL,USA,17,31,804603,0,0,42.054349,-88.054009
20003484,1000003,-1,97,IL,USA,17,31,804109,0,0,42.075496,-88.036731
20003623,10000,-1,1,IL,USA,17,31,320100,0,1,41.886447,-87.619467
20003623,10002,1,2,IL,USA,17,31,81500,0,0,41.892906,-87.626079
20003623,10401,-1,4,IL,USA,17,31,320100,0,0,41.886447,-87.619467
20003623,10406,-1,4,IL,USA,17,31,81500,0,0,41.892906,-87.626079
20003623,2000004,-1,100,IL,USA,17,31,81403,0,0,41.892991,-87.620956
20003658,10000,-1,1,IL,USA,17,97,864511,0,1,42.222256,-87.99196
20003658,10401,-1,4,IL,USA,17,97,864002,0,0,42.250952,-87.992634
20003658,10402,-1,4,IL,USA,17,97,864513,0,0,42.22602,-87.953151
20003658,10403,-1,4,IL,USA,17,97,863902,0,0,42.248989,-87.960837
20003658,10404,-1,4,IL,USA,17,97,864513,0,0,42.22602,-87.953151
20003658,10405,-1,4,IL,USA,17,31,803013,0,0,42.143092,-87.971893
20003658,10406,-1,4,IL,USA,17,97,866200,0,0,42.236386,-87.910896
20003658,10407,-1,4,IL,USA,17,97,864513,0,0,42.22602,-87.953151
20003658,1000000,-1,97,IL,USA,17,97,864513,0,0,42.22602,-87.953151
20003716,10000,-1,1,IL,USA,17,31,828401,0,1,41.567986,-87.665196
20003716,10401,-1,4,IL,USA,17,31,828701,0,0,41.543138,-87.625265
20003716,10405,-1,4,IL,USA,17,31,828401,0,0,41.567986,-87.665196
20003716,1000000,-1,97,IL,USA,17,31,828401,0,0,41.567986,-87.665196
20003716,1000001,-1,97,IL,USA,17,31,320100,0,0,41.886447,-87.619467
20003716,1000002,-1,97,IL,USA,17,31,828401,0,0,41.567986,-87.665196
20003716,1000003,-1,97,IL,USA,17,31,828401,0,0,41.567986,-87.665196
20003738,10000,-1,1,IL,USA,17,97,861014,0,1,42.396164,-88.035365
20003738,10401,-1,4,IL,USA,17,97,861008,0,0,42.41913,-88.041582
20003738,10402,-1,4,IL,USA,17,97,861014,0,0,42.396164,-88.035365
20003738,10403,-1,4,IL,USA,17,97,861013,0,0,42.409805,-88.064747
20003738,10405,-1,4,IL,USA,17,97,861010,0,0,42.404718,-88.11478
20003738,10406,-1,4,IL,USA,17,97,861011,0,0,42.400308,-88.081102
20003738,10407,-1,4,IL,USA,17,97,863004,0,0,42.304663,-87.864266
20003738,10409,-1,4,IL,USA,17,97,861202,0,0,42.378579,-88.05797
20003738,30002,3,2,IL,USA,17,31,81800,0,0,41.893324,-87.63919
20003738,40003,4,3,WI,USA,55,79,185300,1,0,43.049878,-88.042632
20003738,50003,5,3,IL,USA,17,97,861011,0,0,42.400308,-88.081102
20003738,60003,6,3,IL,USA,17,97,861009,0,0,42.411114,-88.013964
20003738,2000002,-1,100,IL,USA,17,97,861010,0,0,42.404718,-88.11478
20003738,2000008,-1,100,IL,USA,17,97,861202,0,0,42.378579,-88.05797
20003738,2000009,-1,100,IL,USA,17,97,864520,0,0,42.174413,-87.950493
20003738,2000011,-1,100,IL,USA,17,97,864505,0,0,42.166779,-87.91741
20003738,2000018,-1,100,WI,USA,55,59,2602,1,0,42.525925,-87.907948
20003738,2000019,-1,100,IL,USA,17,97,861008,0,0,42.41913,-88.041582
20003738,2000021,-1,100,IL,USA,17,97,861008,0,0,42.41913,-88.041582
20003738,2000022,-1,100,IL,USA,17,97,861604,0,0,42.402317,-87.974562
20003738,2000023,-1,100,IL,USA,17,97,864520,0,0,42.174413,-87.950493
20003738,2000031,-1,100,IL,USA,17,97,861202,0,0,42.378579,-88.05797
20003738,2000032,-1,100,IL,USA,17,97,861303,0,0,42.375613,-88.099961
20003738,2000039,-1,97,IL,USA,17,97,864521,0,0,42.19025,-87.93268
