,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 3018.02,white,788.3666666666668,820.4166666666667,4.06536721491691,32.049999999999955,0
Census Tract 8340,black,939.311111111111,959.4166666666666,2.140457545719091,20.10555555555561,2
Census Tract 8342,black,1012.2999999999998,1035.0055555555555,2.242967060708845,22.705555555555634,2
Census Tract 7302.01,black,1073.5166666666669,1142.2666666666667,6.404185620468531,68.74999999999977,4
Census Tract 8355,white,703.2058823529412,724.8588235294118,3.079175205989373,21.652941176470563,0
Census Tract 8395,white,716.8705882352942,739.1235294117647,3.104178291265943,22.252941176470472,0
Census Tract 8392,white,685.3277777777779,708.7944444444446,3.4241522710138734,23.466666666666697,1
Census Tract 5305.02,black,966.7166666666667,975.7222222222224,0.9315610112120789,9.005555555555702,0
Census Tract 8404,white,759.3,778.2222222222222,2.492061401583329,18.922222222222217,0
Census Tract 8410,white,619.0666666666668,646.1833333333334,4.380249838466491,27.11666666666656,1
Census Tract 301.01,white,1088.223529411765,1190.0823529411766,9.360101190283126,101.85882352941167,6
Census Tract 7003.02,black,1431.4499999999998,1547.0944444444444,8.078832264098965,115.64444444444462,1
Census Tract 7004.02,black,1343.6,1438.5944444444444,7.070143230458807,94.99444444444453,2
Census Tract 7004.01,black,1355.35,1441.677777777778,6.369408475875457,86.32777777777801,1
Census Tract 8305,white,809.0470588235295,834.5117647058823,3.1474937835361763,25.46470588235286,0
Census Tract 8417,white,673.3555555555555,706.4444444444446,4.914029239959105,33.08888888888907,0
Census Tract 6401,white,1224.2055555555555,1313.5944444444442,7.301787553833082,89.38888888888869,3
Census Tract 8407,white,627.9055555555556,655.2166666666667,4.349557169779605,27.31111111111113,0
Census Tract 8413,white,686.6611111111112,714.2111111111112,4.012168383239356,27.550000000000068,1
Census Tract 3018.01,white,826.5166666666668,893.6222222222221,8.119080747178566,67.10555555555538,1
Census Tract 608,white,804.1833333333334,849.411111111111,5.624063059142108,45.227777777777646,3
Census Tract 8323,white,614.78125,635.04375,3.2958877649570555,20.262500000000045,1
Census Tract 8325,white,628.9944444444443,647.0444444444444,2.8696596860951016,18.050000000000068,3
Census Tract 8320,white,762.6,800.6055555555556,4.983681557245684,38.00555555555559,3
Census Tract 1606.01,white,752.3235294117648,798.3882352941176,6.122991516478353,46.06470588235288,0
Census Tract 2105.01,white,726.7388888888888,759.75,4.542361997660793,33.01111111111118,2
Census Tract 2106.01,white,657.6166666666666,681.5277777777778,3.6360257157581075,23.911111111111268,2
Census Tract 813,white,420.8,432.2833333333333,2.728929024081105,11.483333333333292,1
Census Tract 7005.02,black,1257.9166666666667,1314.9,4.529976813514409,56.98333333333335,2
Census Tract 8361,black,849.6166666666667,867.2722222222222,2.0780613479281516,17.655555555555566,0
Census Tract 8357,white,736.5941176470587,755.3588235294117,2.54749602702422,18.764705882352928,0
