,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 2508,black,167.9,198.99999999999997,0.18522930315664066,31.099999999999966,2.0
Census Tract 5203,black,,,,,
Census Tract 5206,black,,,,,
Census Tract 5602,white,258.6,270.0,0.04408352668213448,11.399999999999977,2.0
Census Tract 5603,white,225.79999999999998,234.1,0.03675819309123123,8.300000000000011,2.0
Census Tract 5607,white,,,,,
Census Tract 7115,black,,,,,
Census Tract 7206,black,,,,,
Census Tract 310,white,,,,,
Census Tract 5803,white,306.8,311.3,0.01466753585397653,4.5,1.0
Census Tract 505,white,151.39999999999998,168.6,0.11360634081902259,17.200000000000017,1.0
Census Tract 508,white,202.20000000000002,220.10000000000002,0.08852621167161229,17.900000000000006,1.0
Census Tract 510,white,252.99999999999997,270.9,0.07075098814229253,17.900000000000006,1.0
Census Tract 514,white,283.70000000000005,302.1,0.06485724356714831,18.399999999999977,1.0
Census Tract 819,white,,,,,
Census Tract 2520,black,,,,,
Census Tract 2603,black,,,,,
Census Tract 403,white,151.39999999999998,220.89999999999998,0.4590488771466315,69.5,1.0
Census Tract 408,white,209.0,218.3,0.044497607655502446,9.300000000000011,2.0
Census Tract 501,white,,,,,
Census Tract 502,white,151.1,168.3,0.11383189940436808,17.200000000000017,1.0
